"[T]"	"T"	"AB"	"BC"	"CA"	"mA"	"mB"	"mC"	"cAB"	"cBC"	"cCA"	"ABC"	"BCA"	"CAB"	"ABCA"	"BCAB"	"CABC"
18.5	132	975	973	973	2	2	0	0	3	0	0	1	0	1	0	0
18.6	132	971	971	974	0	2	1	2	0	1	2	2	0	0	4	0
18.7	133	971	975	976	1	0	0	1	1	0	0	0	1	0	1	0
18.8	133	967	969	973	1	1	0	0	2	0	1	0	1	2	0	2
18.9	137	975	963	972	2	1	1	4	1	0	0	2	1	0	0	0
19.	140	971	970	970	1	1	2	1	0	2	3	0	0	0	1	3
19.1	143	967	972	970	0	3	1	1	2	1	0	1	0	0	1	1
19.2	144	968	980	976	0	1	0	0	1	1	1	0	0	3	0	0
19.3	143	973	972	973	1	0	1	4	0	1	2	1	1	0	1	0
19.4	142	973	972	974	1	0	0	3	1	1	1	0	0	0	0	1
19.5	137	969	974	966	1	1	0	2	2	1	1	2	0	0	0	2
19.6	138	970	971	966	1	1	3	0	0	0	4	3	1	1	0	1
19.7	138	974	972	965	0	1	2	2	1	1	1	2	0	1	0	1
19.8	135	976	970	975	1	1	1	0	0	0	0	2	1	0	0	0
19.9	134	974	980	968	0	0	0	3	0	0	2	0	1	1	1	0
20.	133	974	974	974	1	3	1	0	0	1	2	0	1	0	1	0
20.1	129	976	974	964	1	2	1	0	2	0	3	1	1	1	0	0
20.2	132	967	961	970	0	1	0	0	1	4	2	1	3	3	1	2
20.3	134	976	972	978	0	1	0	0	0	3	0	1	1	0	0	2
20.4	136	973	968	972	1	1	1	1	0	0	1	0	2	1	1	1
20.5	132	970	967	974	2	0	1	1	1	1	0	1	2	0	0	0
20.6	133	969	971	971	0	0	1	0	3	0	0	2	1	1	1	0
20.7	135	970	972	971	4	2	1	1	1	1	1	3	1	2	2	0
20.8	137	968	971	965	2	3	0	0	0	1	0	1	1	1	0	0
20.9	132	972	972	969	1	1	1	0	0	0	1	1	1	0	0	0
21.	134	972	963	974	2	1	2	2	0	0	1	0	1	1	0	1
21.1	136	970	969	972	1	2	1	0	1	1	0	2	2	1	0	2
21.2	136	970	974	975	1	1	1	2	0	0	0	0	0	2	0	1
21.3	131	977	971	970	1	0	1	2	0	0	0	0	0	1	1	0
21.4	133	981	967	979	2	1	1	1	0	0	0	0	1	0	0	2
21.5	132	975	967	970	3	2	3	0	0	3	2	1	2	0	2	0
21.6	136	974	977	968	1	1	1	0	2	1	2	0	0	1	0	2
21.7	135	966	976	964	1	1	0	0	1	1	1	1	0	2	3	0
21.8	137	972	974	976	1	2	0	1	2	1	0	0	0	0	0	0
21.9	132	974	971	974	3	1	1	0	0	1	2	0	0	0	1	2
22.	131	975	972	971	0	1	0	2	1	1	2	0	1	0	0	2
22.1	129	979	975	960	1	1	1	1	1	0	2	2	1	0	0	0
22.2	129	971	965	974	1	2	1	2	1	2	2	0	2	0	1	0
22.3	132	964	966	970	0	3	1	0	2	2	2	0	1	2	0	1
22.4	132	976	974	972	2	0	1	1	2	0	1	1	1	3	1	0
22.5	133	967	970	973	2	1	2	1	0	1	1	0	1	0	2	0
22.6	136	974	973	973	1	2	1	0	1	0	1	1	1	0	2	1
22.7	134	972	970	973	1	1	0	0	0	1	0	0	2	0	1	0
22.8	134	973	975	976	0	1	0	2	1	2	1	0	0	0	1	0
